n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,rdkit,fast_exact
SM,1004,0.056658394901694595,0.028727222578787532,0.03445623635602336,0.03154365197860306,0.030846994490688628,0.030020690523734295,0.03104871119797584,0.03104871119797583
SM,1173,0.02769920256041027,0.03407429979736395,0.030348152432178067,0.03072734447818508,0.031183344555072004,0.028120209582120314,0.030927735552013894,0.030927735552013884
SM,4439,0.034300320354976176,0.03475313135030468,0.035385286115250235,0.03434201100604749,0.03543729754967933,0.033035019340416624,0.03378914874871367,0.033789148748713665
SM,2393,0.04569682848430319,0.04772797625758487,0.0472513986828997,0.048405156869385665,0.04457933146783825,0.05133789475924017,0.04766326121809452,0.04766326121809452
SM,1688,0.027197381967226007,0.02684131472811936,0.02977227492683968,0.031589595739937595,0.026657736534306694,0.03255083922723232,0.030229320205507726,0.030229320205507722
SM,1677,0.049353784604556854,0.05002742290824002,0.04843706942679792,0.04886549557141828,0.04906760870352602,0.04195029887781255,0.04724730290227163,0.0472473029022716
SM,1284,0.03039903723051672,0.034143989294414125,0.033899073577213515,0.03284426221617577,0.031074142708231566,0.03205593207285743,0.03423781096956205,0.03423781096956209
SM,1149,0.034345811810029235,0.0322793237210526,0.03268585416126193,0.03437408235510986,0.03212110554892307,0.030498022863762263,0.0328357653246472,0.032835765324647194
SM,1297,0.05792788934772201,0.04434962291745975,0.045656602370995385,0.04281854033929458,0.043117292742752375,0.042235480967055684,0.044436821205534396,0.04443682120553438
SM,1071,0.09250054029294837,0.09526827571730012,0.09435642718269352,0.09608264315247432,0.09260078086602816,0.09827763553509965,0.09619003093122387,0.09619003093122386
SM,4203,0.09142410604649862,0.0992301136895095,0.09667509980743194,0.09804726621989489,0.0973073221084906,0.10110792416733194,0.0961679653871616,0.0961679653871616
SM,1516,0.039475870284667154,0.03175342837669516,0.028979808941428382,0.030338313046586494,0.035825111220773906,0.029323225050173794,0.029716438455200802,0.02971643845520086
SM,1606,0.025262840245038463,0.031954958820858,0.02953357441172636,0.03194699494733783,0.02852956653425057,0.029944910481822545,0.029695865633806117,0.02969586563380606
SM,4163,0.02285547789475632,0.027460064066946222,0.028847251363366955,0.028414346766034684,0.03324389800360738,0.028932968720981174,0.030294017608822936,0.030294017608822915
SM,3636,0.044613173531479616,0.04125244236147328,0.03502744823917092,0.033295064988063915,0.02979625464962281,0.029569628269646032,0.03140029976122602,0.031400299761226
SM,4417,0.022357686730306137,0.028571171418803883,0.02812252435323548,0.026306997680261065,0.026007634037939157,0.03119375928293161,0.027177962603662086,0.027177962603662106
